day,BENZENE,NO2,O3,PM10,PM25
2016-01-01,44.70377951623689,31.375,32.839506172839506,71.13527116886046,92.78307556370775
2016-02-01,28.55411400156313,30.53846153846154,47.90123456790124,56.55224939696647,50.28051263379893
2016-03-01,29.92080524190338,45.0,57.28395061728395,47.84221070148489,57.02635956337569
2016-04-01,25.307134640710313,37.69230769230769,54.50617283950617,52.54507142209396,51.49963611623017
2016-05-01,20.891828219231527,32.791666666666664,45.30864197530864,42.06033580136751,39.64591397849462
2016-06-01,20.51036084372352,43.84615384615385,66.85185185185185,46.19949130796832,44.96202107279694
2016-07-01,18.86850911944015,24.0,59.691358024691354,50.22481607067811,50.83927745396462
2016-08-01,14.525934006084796,33.03846153846154,40.49382716049382,41.55911516331092,42.90206265543844
2016-09-01,28.511195588332395,54.42307692307692,53.45679012345679,44.74069549929953,52.5621408045977
2016-10-01,35.79421803790606,56.07692307692308,42.96296296296296,47.05532936379848,48.07672491039426
2016-11-01,48.04622836068785,61.19230769230769,29.50617283950617,55.66617516381583,63.13688257680448
2016-12-01,70.1639306833473,67.84615384615384,30.0,93.10046132183228,130.95743583634626
2017-01-01,155.0,38.80769230769231,4.691358024691358,90.15384615384616,116.0
